City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
156,Tiznit,29.5833,-9.5,60.24,37,0,1.07,clear sky,MA,2021-12-11 20:17:57
157,Port Hueneme,34.1478,-119.1951,69.39,27,1,3.44,clear sky,US,2021-12-11 20:22:47
158,Hasaki,35.7333,140.8333,39.6,65,39,8.77,scattered clouds,JP,2021-12-11 20:22:48
159,Cascais,38.6979,-9.4215,57.51,73,13,1.01,few clouds,PT,2021-12-11 20:22:48
160,Altenholz,54.4,10.1333,38.07,93,90,5.75,overcast clouds,DE,2021-12-11 20:22:48
161,Gat,31.61,34.7642,67.41,42,55,2.64,broken clouds,IL,2021-12-11 20:22:01
162,Asau,46.4333,26.4,42.4,84,100,3.78,overcast clouds,RO,2021-12-11 20:22:48
163,Yar-Sale,66.8333,70.8333,-7.91,100,76,4.68,broken clouds,RU,2021-12-11 20:22:49
164,Tuatapere,-46.1333,167.6833,51.82,56,11,5.86,few clouds,NZ,2021-12-11 20:22:49
165,Arraial Do Cabo,-22.9661,-42.0278,82.36,78,0,11.5,clear sky,BR,2021-12-11 20:22:49
166,Agirish,61.9247,63.0231,6.24,92,68,6.69,broken clouds,RU,2021-12-11 20:22:50
167,Moncarapacho,37.0886,-7.7872,54.82,82,0,0.0,clear sky,PT,2021-12-11 20:22:50
168,Vestmannaeyjar,63.4427,-20.2734,44.37,81,91,26.42,overcast clouds,IS,2021-12-11 20:22:50
169,Beitbridge,-22.2167,30.0,86.77,30,100,9.06,overcast clouds,ZW,2021-12-11 20:22:51
170,Egvekinot,66.3167,-179.1667,-26.59,81,14,5.46,few clouds,RU,2021-12-11 20:22:51
171,Tiksi,71.6872,128.8694,-13.45,98,100,4.81,overcast clouds,RU,2021-12-11 20:22:51
172,Khandyga,62.6667,135.6,-33.38,100,86,2.48,overcast clouds,RU,2021-12-11 20:22:52
173,Mandera,3.9366,41.867,84.96,29,4,7.92,clear sky,KE,2021-12-11 20:22:52
174,Lazaro Cardenas,17.9583,-102.2,84.51,62,89,9.51,overcast clouds,MX,2021-12-11 20:22:52
175,Kamaishi,39.2667,141.8833,44.01,77,100,6.58,overcast clouds,JP,2021-12-11 20:22:53
176,Cizre,37.3272,42.1903,51.06,44,4,3.27,clear sky,TR,2021-12-11 20:22:53
177,Kushima,31.4583,131.2333,51.12,86,5,5.91,clear sky,JP,2021-12-11 20:23:53
178,Belmonte,-15.8631,-38.8828,80.6,77,13,8.43,light rain,BR,2021-12-11 20:23:54
179,Saravena,6.9538,-71.8752,91.96,37,71,4.72,broken clouds,CO,2021-12-11 20:20:04
180,San Patricio,28.017,-97.5169,64.49,27,98,21.3,overcast clouds,US,2021-12-11 20:23:54
