City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Toledo,ES,57.07,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
134,Faya,SA,50.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
145,Sabha,LY,55.87,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
148,Eureka,US,50.2,moderate rain,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
153,Katsuura,JP,56.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
157,Port Hueneme,US,69.39,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
159,Cascais,PT,57.51,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
161,Gat,IL,67.41,broken clouds,31.61,34.7642,OlusHome
164,Tuatapere,NZ,51.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
167,Moncarapacho,PT,54.82,clear sky,37.0886,-7.7872,Vila Monte Farm House
176,Cizre,TR,51.06,clear sky,37.3272,42.1903,Divan Cizre
177,Kushima,JP,51.12,clear sky,31.4583,131.2333,Hanaoka
180,San Patricio,US,64.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Namibe,AO,71.6,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
189,Northam,GB,53.42,overcast clouds,51.0333,-4.2167,Durrant House Hotel
191,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
194,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
197,Port Lincoln,AU,64.89,few clouds,-34.7333,135.8667,Port Lincoln Hotel
207,Kalemie,CD,73.9,overcast clouds,-5.9475,29.1947,Mahobilali
211,New Norfolk,AU,51.71,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
226,Nantucket,US,61.14,mist,41.2835,-70.0995,Jared Coffin House
230,Abu Dhabi,AE,73.96,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
231,Port Macquarie,AU,62.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
233,Pacific Grove,US,59.76,clear sky,36.6177,-121.9166,Lovers Point Inn
234,Valparaiso,CL,68.23,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
236,Saldanha,ZA,64.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
237,Dhrol,IN,70.43,clear sky,22.5667,70.4167,Marknday Holiday
240,Nouadhibou,MR,69.78,dust,20.931,-17.0347,El Medina
241,Alyangula,AU,69.67,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
243,Dalbandin,PK,53.51,clear sky,28.8947,64.4101,Gidaan Guest House
253,Betafo,MG,62.37,overcast clouds,-19.8333,46.85,CHEZ MALALA
255,Ahipara,NZ,67.69,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
259,Ribeira Brava,PT,66.0,scattered clouds,32.65,-17.0667,Hotel do Campo
261,Whitianga,NZ,71.02,light rain,-36.8333,175.7,Beachside Resort Whitianga
266,Turbat,PK,64.2,broken clouds,26.0023,63.044,Mubashar Quarters
270,Mudkhed,IN,67.62,scattered clouds,19.1667,77.5167,Shaikh Shahid's Home
271,Bama,NG,74.3,clear sky,11.5221,13.6856,UN Humanitarian Hub
272,Constitucion,CL,61.95,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
273,Mpika,ZM,69.57,scattered clouds,-11.8343,31.4529,Melodies Lodge
275,Riosucio,CO,68.29,moderate rain,5.4216,-75.7032,Finca Cafe La Ermita
276,Kokstad,ZA,65.46,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
279,Sakakah,SA,56.77,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
281,Rancho Santa Margarita,US,67.28,few clouds,33.6409,-117.6031,Ayres Suites Mission Viejo
284,Porbandar,IN,73.29,clear sky,21.6422,69.6093,Lords Inn Porbandar
285,Marsa Matruh,EG,62.56,broken clouds,31.3525,27.2453,Beau Site
